"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no running account",12.0,"no previous credits or paid back","items of furniture",1498.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",23.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",30.0,"no previous credits or paid back","household appliances",11998.0,"no savings","less than 1 year","greater than 35","male:divorced/living apart","none","less than 1 year","ownership of house or land",34.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","yes","yes","bad"
"no running account",6.0,"no previous credits or paid back","repair",448.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",36.0,"no previous credits or paid back","items of furniture",2302.0,"no savings","between 1 and 4 years","less than 20","male:divorced/living apart","none","greater than 7 years","savings contract with a building society/Life insurance",31.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","items of furniture",3077.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",52.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",930.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",65.0,"no further running credits","rented","6 or more","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",48.0,"hesistant payment of previous credits","other",8358.0,"between 100 and 500 DM","less than 1 year","greater than 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",36.0,"paid back previous credits at this bank","other",3535.0,"no savings","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",37.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",8.0,"no previous credits or paid back","items of furniture",760.0,"no savings","between 4 and 7 years","less than 20","female:divorced/living apart/married","guarantor","between 1 and 4 years","no assets",44.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",8.0,"no previous credits or paid back","retraining",907.0,"no savings","less than 1 year","between 20 and 25","male:married/widowed","none","between 1 and 4 years","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"no previous credits or paid back","used car",1736.0,"no savings","between 4 and 7 years","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","no assets",31.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",36.0,"paid back previous credits at this bank","used car",5371.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","guarantor","between 1 and 4 years","car/other",28.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","other",2463.0,"less than 100 DM","between 4 and 7 years","less than 20","male:married/widowed","none","between 4 and 7 years","car/other",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","other",1530.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","car/other",32.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",7.0,"no problems with current credits at this bank","items of furniture",846.0,"greater than 1000 DM","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",36.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",9.0,"no previous credits or paid back","repair",3832.0,"greater than 1000 DM","greater than 7 years","greater than 35","male:single","none","greater than 7 years","no assets",64.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",15.0,"no previous credits or paid back","other",1721.0,"no savings","less than 1 year","between 25 and 35","male:single","none","between 4 and 7 years","no assets",36.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"problematic running accounts","retraining",1559.0,"no savings","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",40.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",24.0,"no previous credits or paid back","used car",3069.0,"less than 100 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",30.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no previous credits or paid back","other",2255.0,"greater than 1000 DM","less than 1 year","less than 20","male:single","none","less than 1 year","car/other",54.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","new car",2910.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","less than 1 year","ownership of house or land",34.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"<= 200 DM",15.0,"paid back previous credits at this bank","items of furniture",1271.0,"greater than 1000 DM","between 1 and 4 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",39.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",21.0,"no problems with current credits at this bank","used car",1591.0,"less than 100 DM","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","no assets",34.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","good"
">=200 DM",15.0,"paid back previous credits at this bank","repair",1532.0,"less than 100 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","savings contract with a building society/Life insurance",31.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",12.0,"paid back previous credits at this bank","other",3499.0,"no savings","between 1 and 4 years","between 20 and 25","female:divorced/living apart/married","co-applicant","between 1 and 4 years","no assets",29.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","other",1386.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",15.0,"paid back previous credits at this bank","items of furniture",1829.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",46.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",36.0,"no previous credits or paid back","items of furniture",2394.0,"greater than 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",12.0,"no problems with current credits at this bank","items of furniture",585.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","co-applicant","greater than 7 years","no assets",20.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no problems with current credits at this bank","other",2032.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",60.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"<= 200 DM",21.0,"no previous credits or paid back","other",2923.0,"less than 100 DM","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",28.0,"at other banks","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",18.0,"no previous credits or paid back","used car",1924.0,"greater than 1000 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","no assets",27.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",24.0,"no previous credits or paid back","other",947.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","ownership of house or land",38.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",6.0,"problematic running accounts","other",783.0,"greater than 1000 DM","between 1 and 4 years","greater than 35","male:single","guarantor","between 1 and 4 years","no assets",26.0,"at department store or mail order house","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
">=200 DM",24.0,"no problems with current credits at this bank","used car",4151.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 4 and 7 years","car/other",35.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",30.0,"no previous credits or paid back","items of furniture",2522.0,"no savings","greater than 7 years","greater than 35","male:single","guarantor","between 4 and 7 years","car/other",39.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",20.0,"no problems with current credits at this bank","new car",7057.0,"greater than 1000 DM","between 4 and 7 years","between 20 and 25","male:single","none","greater than 7 years","car/other",36.0,"at other banks","free apartment","2 or 3","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","items of furniture",2214.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 4 and 7 years","car/other",24.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",24.0,"problematic running accounts","new car",3632.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","guarantor","greater than 7 years","savings contract with a building society/Life insurance",22.0,"at other banks","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","no","good"
"<= 200 DM",36.0,"no previous credits or paid back","items of furniture",3919.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","no assets",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",36.0,"no previous credits or paid back","items of furniture",2299.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",39.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",30.0,"paid back previous credits at this bank","items of furniture",3077.0,"greater than 1000 DM","greater than 7 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",40.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","repair",684.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",40.0,"no further running credits","free apartment","one","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","used car",3062.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","ownership of house or land",32.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",6.0,"paid back previous credits at this bank","items of furniture",1957.0,"no savings","between 4 and 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",31.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",24.0,"paid back previous credits at this bank","retraining",1275.0,"between 500 and 1000 DM","between 1 and 4 years","between 25 and 35","male:divorced/living apart","none","greater than 7 years","no assets",36.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no problems with current credits at this bank","new car",4679.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",35.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","yes","yes","good"
"no balance",13.0,"paid back previous credits at this bank","items of furniture",882.0,"no savings","less than 1 year","less than 20","male:single","guarantor","greater than 7 years","no assets",23.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","repair",2748.0,"no savings","greater than 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",57.0,"at other banks","owner","4 or 5","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",12.0,"no previous credits or paid back","other",1295.0,"no savings","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",25.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",18.0,"paid back previous credits at this bank","other",3966.0,"no savings","greater than 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","no assets",33.0,"at other banks","free apartment","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",2397.0,"between 100 and 500 DM","greater than 7 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",35.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",18.0,"paid back previous credits at this bank","repair",1864.0,"less than 100 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","no assets",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",24.0,"paid back previous credits at this bank","repair",5743.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",24.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1376.0,"between 100 and 500 DM","between 4 and 7 years","less than 20","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no problems with current credits at this bank","retraining",8648.0,"no savings","less than 1 year","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",27.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",12.0,"hesistant payment of previous credits","used car",2969.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","car/other",25.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","retraining",1076.0,"no savings","between 1 and 4 years","between 25 and 35","male:married/widowed","none","between 1 and 4 years","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",11.0,"paid back previous credits at this bank","other",1322.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",40.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",60.0,"no previous credits or paid back","other",7408.0,"less than 100 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","car/other",24.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","no","yes","bad"
"no balance",30.0,"paid back previous credits at this bank","other",2181.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",36.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",45.0,"no previous credits or paid back","items of furniture",1845.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",23.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",24.0,"no previous credits or paid back","items of furniture",1967.0,"no savings","greater than 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",20.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"<= 200 DM",24.0,"paid back previous credits at this bank","used car",3617.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","co-applicant","greater than 7 years","ownership of house or land",20.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","other",1055.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","car/other",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",15.0,"no previous credits or paid back","used car",1845.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","guarantor","less than 1 year","car/other",46.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",12.0,"hesistant payment of previous credits","household appliances",1108.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","no assets",28.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",15.0,"hesistant payment of previous credits","other",950.0,"no savings","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",33.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no balance",45.0,"no previous credits or paid back","items of furniture",3031.0,"less than 100 DM","between 1 and 4 years","less than 20","male:single","guarantor","greater than 7 years","car/other",21.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",9.0,"paid back previous credits at this bank","used car",1919.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",35.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",21.0,"no previous credits or paid back","used car",3976.0,"greater than 1000 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",35.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","household appliances",2384.0,"no savings","less than 1 year","less than 20","male:single","none","less than 1 year","ownership of house or land",33.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",18.0,"no previous credits or paid back","used car",3422.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",47.0,"at other banks","rented","4 or 5","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"<= 200 DM",6.0,"paid back previous credits at this bank","repair",1047.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","car/other",50.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",30.0,"paid back previous credits at this bank","items of furniture",6742.0,"greater than 1000 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","car/other",36.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"paid back previous credits at this bank","items of furniture",1216.0,"less than 100 DM","less than 1 year","less than 20","male:single","none","greater than 7 years","ownership of house or land",38.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no balance",18.0,"no previous credits or paid back","other",6260.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","between 4 and 7 years","no assets",28.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",60.0,"no previous credits or paid back","items of furniture",10144.0,"less than 100 DM","between 4 and 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","no assets",21.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",999.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",6.0,"hesistant payment of previous credits","other",1204.0,"less than 100 DM","between 1 and 4 years","less than 20","male:single","none","less than 1 year","ownership of house or land",35.0,"at other banks","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","no","good"
"<= 200 DM",15.0,"no previous credits or paid back","retraining",2687.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","greater than 7 years","car/other",26.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",10.0,"paid back previous credits at this bank","other",2241.0,"no savings","less than 1 year","greater than 35","male:single","none","between 4 and 7 years","no assets",48.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","0 to 2","no","no","good"
">=200 DM",15.0,"no problems with current credits at this bank","used car",960.0,"between 500 and 1000 DM","between 4 and 7 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","car/other",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",5103.0,"no savings","less than 1 year","between 20 and 25","male:married/widowed","none","between 4 and 7 years","ownership of house or land",47.0,"no further running credits","owner","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",18.0,"paid back previous credits at this bank","used car",1049.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",21.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",30.0,"hesistant payment of previous credits","retraining",4221.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",15.0,"no previous credits or paid back","household appliances",1514.0,"less than 100 DM","between 1 and 4 years","less than 20","male:single","guarantor","between 1 and 4 years","no assets",22.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",15.0,"paid back previous credits at this bank","used car",975.0,"no savings","between 1 and 4 years","between 25 and 35","male:divorced/living apart","none","between 4 and 7 years","car/other",25.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",6.0,"paid back previous credits at this bank","other",6761.0,"no savings","between 4 and 7 years","greater than 35","male:single","none","between 4 and 7 years","ownership of house or land",45.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no balance",42.0,"problematic running accounts","new car",9283.0,"no savings","unemployed","greater than 35","male:single","none","between 1 and 4 years","ownership of house or land",55.0,"at other banks","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",24.0,"no previous credits or paid back","used car",3345.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",39.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","other",1393.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","guarantor","between 1 and 4 years","no assets",31.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"<= 200 DM",24.0,"paid back previous credits at this bank","other",1344.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","between 1 and 4 years","no assets",37.0,"at other banks","rented","2 or 3","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",10.0,"no previous credits or paid back","other",1597.0,"between 100 and 500 DM","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","ownership of house or land",40.0,"no further running credits","free apartment","one","unskilled with permanant residence","0 to 2","no","no","good"
"no running account",36.0,"no previous credits or paid back","repair",1977.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",40.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
">=200 DM",18.0,"no previous credits or paid back","used car",1533.0,"no savings","less than 1 year","less than 20","male:married/widowed","co-applicant","less than 1 year","car/other",43.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",48.0,"paid back previous credits at this bank","items of furniture",3578.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","less than 1 year","no assets",47.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",36.0,"paid back previous credits at this bank","used car",6229.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","co-applicant","greater than 7 years","ownership of house or land",23.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","yes","yes","bad"
"no balance",18.0,"no previous credits or paid back","other",5866.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",39.0,"no previous credits or paid back","new car",8588.0,"less than 100 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",45.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",18.0,"paid back previous credits at this bank","items of furniture",1795.0,"no savings","greater than 7 years","between 20 and 25","female:divorced/living apart/married","guarantor","greater than 7 years","no assets",48.0,"at other banks","free apartment","2 or 3","unskilled with permanant residence","3 and more","yes","yes","good"
">=200 DM",15.0,"paid back previous credits at this bank","items of furniture",1459.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",43.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",6.0,"no previous credits or paid back","repair",1538.0,"no savings","less than 1 year","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","ownership of house or land",56.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","items of furniture",1345.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","none","between 4 and 7 years","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",15.0,"paid back previous credits at this bank","used car",1520.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",63.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",9.0,"no previous credits or paid back","other",2507.0,"between 100 and 500 DM","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",51.0,"no further running credits","owner","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",18.0,"no previous credits or paid back","retraining",1941.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",35.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","good"
